redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.000000000000e+01,1.000000000000e+05,1.000000000000e+06,2.090030501684e-35,6.498529188088e-15,3.216159289575e-21,1.000000000000e+00,3.707465528964e-13
1.000000000000e+01,1.000000000000e+06,1.000000000000e+07,4.632678500148e-08,1.468423694682e-05,3.144943115885e-03,9.968550568841e-01,8.403910435308e-04
1.000000000000e+01,1.000000000000e+07,1.000000000000e+08,5.746754157336e-04,3.879035649725e-04,5.970163770998e-01,4.029836229002e-01,5.491594000094e-02
1.000000000000e+01,1.000000000000e+08,1.000000000000e+09,5.194803979122e-03,8.415049548394e-05,9.840592496320e-01,1.594075036804e-02,3.011687903080e-01
1.000000000000e+01,1.000000000000e+09,1.000000000000e+10,7.615681521697e-03,1.691830937483e-09,9.999997778491e-01,2.221509075480e-07,4.344811291365e-01
1.000000000000e+01,1.000000000000e+10,1.000000000000e+14,3.656278282449e-03,2.799351848091e-40,1.000000000000e+00,7.656287710728e-38,2.085937495107e-01
1.016620329396e+01,1.000000000000e+05,1.000000000000e+06,9.951208335634e-35,1.747046964795e-14,5.696016498791e-21,1.000000000000e+00,1.059975313111e-12
1.016620329396e+01,1.000000000000e+06,1.000000000000e+07,5.557846124541e-08,1.702605266862e-05,3.253697543453e-03,9.967463024565e-01,1.036383547219e-03
1.016620329396e+01,1.000000000000e+07,1.000000000000e+08,5.860716101256e-04,3.963615142467e-04,5.965511499829e-01,4.034488500171e-01,5.960657495774e-02
1.016620329396e+01,1.000000000000e+08,1.000000000000e+09,5.065243459626e-03,8.010430994633e-05,9.844317015032e-01,1.556829849676e-02,3.121805951999e-01
1.016620329396e+01,1.000000000000e+09,1.000000000000e+10,7.127629589928e-03,1.284457329583e-09,9.999998197918e-01,1.802081718623e-07,4.324504675640e-01
1.016620329396e+01,1.000000000000e+10,1.000000000000e+14,3.209465596973e-03,4.406748561382e-41,1.000000000000e+00,1.373047452367e-38,1.947259787301e-01
1.033516894142e+01,1.000000000000e+05,1.000000000000e+06,4.584706938997e-34,4.567085843597e-14,1.003858279875e-20,1.000000000000e+00,2.948540737718e-12
1.033516894142e+01,1.000000000000e+06,1.000000000000e+07,6.646517533291e-08,1.967477063720e-05,3.366819380715e-03,9.966331806193e-01,1.274507202175e-03
1.033516894142e+01,1.000000000000e+07,1.000000000000e+08,5.967088134658e-04,4.044267615475e-04,5.960319744485e-01,4.039680255515e-01,6.463397290954e-02
1.033516894142e+01,1.000000000000e+08,1.000000000000e+09,4.929995863856e-03,7.608581019365e-05,9.848013246392e-01,1.519867536082e-02,3.231959340763e-01
1.033516894142e+01,1.000000000000e+09,1.000000000000e+10,6.654165177949e-03,9.676180163716e-10,9.999998545846e-01,1.454153676364e-07,4.295973543668e-01
