redshift,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_total_sfrd,popiii_fraction_of_total_sfrd,j21_lw_popii,j21_lw_popiii,j21_lw_total,mmol_no_feedback_msun,mmol_lw_only_msun,mmol_lw_vcb_mean_msun,matom_msun,popiii_sfrd_peak_halo_mass_msun,popiii_sfrd_p16_halo_mass_msun,popiii_sfrd_median_halo_mass_msun,popiii_sfrd_p84_halo_mass_msun,popiii_sfr_fraction_90pct_halo_mass_msun,popiii_sfr_fraction_50pct_halo_mass_msun,popiii_sfr_fraction_10pct_halo_mass_msun
1.000000000000e+01,1.704148552579e-02,4.867399892407e-04,9.722310744563e-01,2.776892554374e-02,1.134635715273e+01,7.451728286228e-01,1.209152998135e+01,9.045340337333e+05,8.975837235051e+06,2.907850448150e+07,8.704700924318e+07,4.306717067641e+07,1.877091632151e+07,4.470017002224e+07,1.067825188497e+08,1.989497889550e+07,4.265514378465e+07,1.157811664722e+08
1.016620329396e+01,1.599068588340e-02,4.935440545301e-04,9.700596232649e-01,2.994037673513e-02,1.086964164805e+01,7.720167538016e-01,1.164165840185e+01,8.844140723370e+05,8.598679024294e+06,2.785741600357e+07,8.511078307554e+07,4.306717067641e+07,1.809787100660e+07,4.294701220301e+07,1.035824372221e+08,1.966910746518e+07,4.215213541692e+07,1.139975858782e+08
1.033516894142e+01,1.498720558039e-02,5.001691418129e-04,9.677047175015e-01,3.229528249845e-02,1.039601970450e+01,7.991909626634e-01,1.119521066717e+01,8.647129118862e+05,8.232232544264e+06,2.667047470876e+07,8.321485983560e+07,4.306717067641e+07,1.746032710434e+07,4.126323561939e+07,1.003510741543e+08,1.944782067572e+07,4.165078219882e+07,1.122267799405e+08
1.050694285360e+01,1.401030397089e-02,5.062229391561e-04,9.651278200156e-01,3.487217998444e-02,9.926163372301e+00,8.265863361244e-01,1.075274970843e+01,8.454228962080e+05,7.876400640513e+06,2.551721405503e+07,8.135850273856e+07,4.306717067641e+07,1.685158450718e+07,3.965034784183e+07,9.707028559905e+07,1.922502493946e+07,4.115460665232e+07,1.104959921075e+08
1.068157170477e+01,1.309505948170e-02,5.123034464827e-04,9.623510117878e-01,3.764898821224e-02,9.462333775431e+00,8.542009289352e-01,1.031653470437e+01,8.265364701334e+05,7.531745526225e+06,2.440091368452e+07,7.954098471958e+07,4.306717067641e+07,1.627011903521e+07,3.810754670786e+07,9.375064955621e+07,1.900574760847e+07,4.065869547197e+07,1.087750954463e+08
1.085910294498e+01,1.219557197193e-02,5.174783203818e-04,9.592955027721e-01,4.070449722793e-02,9.003619645423e+00,8.818348325925e-01,9.885454478015e+00,8.080461796425e+05,7.197506262519e+06,2.331880151611e+07,7.776158844787e+07,4.306717067641e+07,1.570882949104e+07,3.661700784898e+07,9.036414124567e+07,1.878447196357e+07,4.016676699191e+07,1.070656114369e+08
1.103958481287e+01,1.135980756193e-02,5.227227333088e-04,9.560091394408e-01,4.399086055923e-02,8.552925476126e+00,9.094817409984e-01,9.462407217124e+00,7.899446719408e+05,6.874483267925e+06,2.227157514851e+07,7.601960633391e+07,4.306717067641e+07,1.484890135032e+07,3.517928146015e+07,8.692432739864e+07,1.856668877716e+07,3.967588354709e+07,1.053913455483e+08
1.122306634886e+01,1.054313352394e-02,5.269743063474e-04,9.523966419816e-01,4.760335801840e-02,8.109137299487e+00,9.369264410799e-01,9.046063740567e+00,7.722246954676e+05,6.561836803678e+06,2.125862129825e+07,7.431434053038e+07,2.597970087226e+07,1.406096390160e+07,3.378020765396e+07,8.340545414015e+07,1.834690216987e+07,3.918790198907e+07,1.037307887512e+08
1.140959740842e+01,9.781509353459e-03,5.310558289204e-04,9.485040026871e-01,5.149599731285e-02,7.676169549153e+00,9.642574261661e-01,8.640426975319e+00,7.548790998404e+05,6.260781637030e+06,2.028392046104e+07,7.264510292673e+07,2.597970087226e+07,1.335861705482e+07,3.242384966756e+07,7.982833404970e+07,1.812871718095e+07,3.869956886008e+07,1.020795166984e+08
1.159922867563e+01,9.048554459212e-03,5.342840354799e-04,9.442457434949e-01,5.575425650510e-02,7.251536945952e+00,9.911279332311e-01,8.242664879184e+00,7.379008357378e+05,5.969911057290e+06,1.934168157759e+07,7.101121513794e+07,2.597970087226e+07,1.272223295026e+07,3.109423053304e+07,7.616181343752e+07,1.790949756190e+07,3.821377373203e+07,1.004564580705e+08
1.179201167696e+01,8.366042555329e-03,5.373025431299e-04,9.396516099075e-01,6.034839009250e-02,6.837567741432e+00,1.017503164045e+00,7.855070905477e+00,7.212829547229e+05,5.689787947412e+06,1.843292334810e+07,6.941200848748e+07,2.597970087226e+07,1.214320971132e+07,2.979334567755e+07,7.242319152011e+07,1.769179536650e+07,3.772977151454e+07,9.885306237671e+07
1.198799879528e+01,7.706683079675e-03,5.391460266054e-04,9.346159107039e-01,6.538408929610e-02,6.434251249320e+00,1.043191296694e+00,7.477442546014e+00,7.050186090098e+05,5.420026532390e+06,1.756036990541e+07,6.784682398494e+07,2.597970087226e+07,1.161152945910e+07,2.851415656017e+07,6.973973747923e+07,1.747295894346e+07,3.724552645615e+07,9.725936357748e+07
1.218724328406e+01,7.095094807961e-03,5.406708091164e-04,9.291923251406e-01,7.080767485937e-02,6.043736739745e+00,1.068206528530e+00,7.111943268275e+00,6.891010511764e+05,5.161143098404e+06,1.672164909485e+07,6.631501229828e+07,2.597970087226e+07,1.112033321568e+07,2.725708329700e+07,6.747724998082e+07,1.725371132777e+07,3.676319996832e+07,9.568327521042e+07
1.238979928188e+01,6.512330505992e-03,5.411661377358e-04,9.232768986688e-01,7.672310133117e-02,5.664741753595e+00,1.092225790808e+00,6.756967544403e+00,6.735236338252e+05,4.912235884496e+06,1.591439199141e+07,6.481593372126e+07,2.597970087226e+07,1.066055476432e+07,2.601119761847e+07,6.520083613721e+07,1.703607403233e+07,3.628148949753e+07,9.413537341980e+07
1.259572182710e+01,5.973371380940e-03,5.413482487347e-04,9.169038301712e-01,8.309616982884e-02,5.297815374423e+00,1.115060483213e+00,6.412875857636e+00,6.582798091949e+05,4.673156672180e+06,1.514043776553e+07,6.334895813603e+07,2.597970087226e+07,1.022942429107e+07,2.483106954915e+07,6.291892014506e+07,1.681588817338e+07,3.580192575290e+07,9.259789325662e+07
1.280506687285e+01,5.458338724642e-03,5.402065948434e-04,9.099437336768e-01,9.005626632321e-02,4.944162862643e+00,1.136623690717e+00,6.080786553360e+00,6.433631287244e+05,4.444049372061e+06,1.439869545608e+07,6.191346497119e+07,2.597970087226e+07,9.820977494379e+06,2.371184408778e+07,6.061525319470e+07,1.659900814965e+07,3.532244778256e+07,9.107155230731e+07
1.301789130222e+01,4.981376874953e-03,5.384832745940e-04,9.024462105914e-01,9.755378940864e-02,4.604115853233e+00,1.156736312628e+00,5.760852165862e+00,6.287672425727e+05,4.224703144867e+06,1.368752154594e+07,6.050884315556e+07,2.597970087226e+07,9.417326890580e+06,2.264642337759e+07,5.828964078681e+07,1.637763569001e+07,3.484477727150e+07,8.957364455476e+07
1.323425294371e+01,4.535217180585e-03,5.358268966717e-04,8.943359812085e-01,1.056640187915e-01,4.278259609500e+00,1.175312755428e+00,5.453572364927e+00,6.144858990958e+05,4.015046863733e+06,1.300789819290e+07,5.913449106787e+07,2.597970087226e+07,8.830830393567e+06,2.162727527198e+07,5.593553763760e+07,1.615921867128e+07,3.436806310689e+07,8.809126331172e+07
